Ship,Flag,Sunk date,Notes,Coordinates
USS Saratoga,United States Navy,25-Jul-46,A Lexington-class aircraft carrier that was sunk at Bikini Atoll in an atomic bomb test.,11°34′53.33″N 165°29′54.78″E
Toreshima Maru,Imperial Japanese Navy,Dec-43,A Japanese supply ship sunk at Maloelap Atoll off Taroa Island by US Navy.,
Anjou,France,5-Feb-05,A barque that struck rocks off the Auckland Islands.,50°46′37″S 165°53′15″E
TSS Arahura,New Zealand,24-Jan-52,A passenger and cargo steamer that was sunk for target practice in Cook Strait.,
Boyd,United Kingdom,October 1809,A brigantine that was attacked by Maori warriors at Whangaroa. The ship was destroyed by fire during the resulting Boyd massacre.,
HMS Buffalo,Royal Navy,28 July 1840,"A storeship that was wrecked in a storm in Mercury Bay, with two lives lost.",36°49′36.20″S 175°42′20.00″E
HMNZS Canterbury,Royal New Zealand Navy,3-Nov-07,A Leander-class frigate that was scuttled as a dive wreck in the Bay of Islands.,35°11′38″S 174°17′40″E
Cowan,New Zealand,9-Mar-48,A wooden steam trawler that struck rocks in Lyttelton Harbour.,
Darra,New Zealand,1951,"A tea clipper, later used as a coal hulk, intentionally beached in Lyttelton Harbour.",
Derry Castle,United Kingdom,20 March 1887,A barque that ran aground on Enderby Island.,50°29′04″S 166°18′10″E
Dolphin,New Zealand,9 December 1862,"A cutter wrecked near Quail Island, Lyttelton Harbour, New Zealand",
Dundonald,United Kingdom,7-Mar-07,"A barque that was wrecked in a storm off Disappointment Island, where the survivors remained for seven months until rescued.",50°36′29″S 165°57′17″E
SS Elingamite,Australia,5-Nov-02,A steamship that struck West Island (one of the Three Kings Islands) and sank within 20 minutes.,34°11′10″S 172°01′54″E
England's Glory,United Kingdom,7 November 1881,By getting too close in while waiting the arrival of the pilot.[2],
Endeavour II,Canada,22-Feb-71,"A three-masted auxiliary barque driven onto the bar of Parengarenga Harbour, a few miles south of North Cape. There were no fatalities amongst the crew of thirteen men and one woman.[3]",34°31′18″S 173°00′37″E
General Grant,United States,14 May 1866,A barque that drifted into a cave on the western shore of the Auckland Islands and sank.,
Holmbank,New Zealand,21-Sep-63,A coastal trading vessel that was lost off Banks Peninsula,
MV Holmglen,New Zealand,24-Nov-59,A coastal trading vessel that was lost off Timaru.,44°31′20″S 171°41′22″E
Hydrabad,United Kingdom,24 June 1878,A cargo and passenger sailing ship that was beached in the North Island in a storm.,
MV Kaitawa,New Zealand,24-May-66,A collier that capsized near Cape Reinga.,
MS Mikhail Lermontov,Soviet Union,16-Feb-86,A Soviet passenger liner that ran aground in the Marlborough Sounds.,41°02′32″S 174°13′10″E
RMS Niagara,United Kingdom,19-Jun-40,An ocean liner that struck a mine and sank off Bream Head while carrying a secret consignment of gold from the Bank of England.,35°51′50″S 174°56′38″E
Novelty,New Zealand,Unknown date 1877,"A steam ship wrecked off Quail Island, Lyttelton Harbour, New Zealand",
HMS Orpheus,Royal Navy,7 February 1863,"A Jason-class corvette that ran aground on the Manukau Heads, with 189 lives lost.",37°04.1′S 174°28.3′E
SS Penguin,New Zealand,12-Feb-09,A ferry that foundered off Cape Terawhiti.,
SS Port Kembla,New Zealand,18-Sep-17,A cargo ship that was sunk by a mine off Farewell Spit.,
HMNZS Puriri,Royal New Zealand Navy,14-May-41,"A coastal cargo boat that was converted into a minesweeper, and hit a mine off Bream Head 25 days after being commissioned.",35°46′15″S 174°43′00″E
Queen Bee,United Kingdom,7 August 1877,A barque that ran aground on Farewell Spit.[4],40°30′00″S 172°52′00″E
Rainbow Warrior,Netherlands,2-Dec-87,"A fishing trawler that was purchased by Greenpeace in 1978 for use as a fundraising and protest ship. She was sabotaged and sunk by the French secret service at Auckland on 10 July 1985, and although later refloated, was found to be beyond repair and finally scuttled in Matauri Bay.",34°58′29″S 173°56′06″E
MV Rena,Liberia,5-Oct-11,"A container ship that ran aground on Astrolabe Reef, resulting in New Zealand's worst oil spill. The wreck broke apart and sank in January 2012.",37°32′25″S 176°25′45″E
HMS Sandfly,Royal Navy,1868,"A passenger paddle steamer used as a gunboat during the New Zealand Wars. In 1865 she reverted to civilian use and became the Tasmanian Maid, before being wrecked off New Plymouth.",
Sydney Packet,Australia,17 July 1837,"A schooner that was wrecked in a storm off Moeraki, Otago.",
SS Tararua,New Zealand,29 April 1881,"A passenger steamer that struck a reef off Waipapa Point and sank the next day, claiming over 100 victims.",46°40′07″S 168°51′44″E
HMS Torch,Royal Navy,17-Nov-24,An Alert-class sloop that ran aground in the Chatham Islands.,
Torrington,Australia,27 June 1851,A brig wrecked in a storm in Lyttelton Harbour,
HMNZS Tui,Royal New Zealand Navy,Feb-99,An oceanographic survey and research ship that was scuttled as a dive wreck.,35°35′00″S 174°32′22″E
SS Victory,United Kingdom,3 July 1861,A steamship that ran aground off Otago Peninsula.,45°50′33″S 170°43′56″E
Wahine,New Zealand,10-Apr-68,"A passenger ferry that ran aground and capsized, with 51 lives lost.",
HMNZS Waikato,Royal New Zealand Navy,18-Dec-00,A Leander-class frigate that was scuttled off Tutukata as an artificial reef.,35°39′10″S 174°32′40″E
SS Wairarapa,New Zealand,29 October 1894,A luxury steamer that hit a reef off Great Barrier Island.,36°04′03″S 175°21′07″E
HMNZS Wellington,Royal New Zealand Navy,13-Nov-05,A Leander-class frigate that was scuttled off the coast of Wellington.,41°21.18′S 174°46.80′E
William and John,New Zealand,27 June 1851,A 10 ton cutter wrecked in a storm in Lyttelton Harbour,
USS Brownson,United States Navy,26-Dec-43,"A Fletcher-class destroyer that was sunk by a Japanese dive bomber off Cape Gloucester, New Britain.",5°20′S 148°25′E
HMAS Geelong,Royal Australian Navy,18-Oct-44,A Bathurst-class corvette that collided with the American tanker York north of Langemak Bay.,6°4′S 147°45′E
Hakaze,Imperial Japanese Navy,23-Jan-43,"A Japanese Minekaze-class destroyer that was torpedoed by USS Guardfish south of Kavieng, New Ireland.",02°47′S 150°38′E
SS Kyokusei Maru,Imperial Japanese Army,2-Mar-43,A Japanese troopship that was sunk by Allied aircraft in the Battle of the Bismarck Sea.,06°46′S 147°10′E
MV Macdhui,United Kingdom,18-Jun-42,A passenger and cargo ship that was sunk by Japanese aircraft in Port Moresby.,
Mikazuki,Imperial Japanese Navy,28-Jul-43,A Japanese Mutsuki-class destroyer that ran aground on a reef off the west coast of New Island.,5°27′S 148°25′E
USS Mount Hood,United States Navy,10-Nov-44,"A Mount Hood-class ammunition ship that exploded in Seeadler Harbor, killing over 300 people and destroying twenty-two smaller boats and landing craft.",2°01′42″S 147°21′18″E
SS Pruth,United Kingdom,31-Dec-23,"A steamship that was wrecked on Natara Reef, off Port Moresby.",
Ro-33,Imperial Japanese Navy,29-Aug-42,A Japanese Ro-33-class submarine that was sunk by HMAS Arunta off Port Moresby.,09°36′S 147°06′E
USS S-39,United States Navy,13-Aug-42,An S-class submarine that ran aground off Rossel Island.,11°21′02.74″S 154°08′56.51″E
Tenryū,Imperial Japanese Navy,19-Dec-42,A Japanese Tenryū-class cruiser that was torpedoed by USS Albacore off Madang.,05°12′S 145°56′E
W-26,Imperial Japanese Navy,17-Feb-44,"A Japanese W-19-class minesweeper that was bombed by American aircraft at Karavia Bay, New Britain.",
Yūgiri,Imperial Japanese Navy,26-Nov-43,A Japanese Fubuki-class destroyer that was sunk in the Battle of Cape St. George.,04°44′S 154°0′E
Staghound,British Australian colony,21 November 1862,Drove ashore during a gale.,
SMS Adler,Imperial German Navy,16 March 1889,A gunboat that was wrecked in the 1889 Apia cyclone.,
SMS Eber,Imperial German Navy,16 March 1889,A warship that was wrecked in the 1889 Apia cyclone.,13°49′53″S 171°45′07″W﻿ / ﻿13.83139°S 171.75194°W﻿ / -13.83139; -171.75194﻿ (SMS E
USS Trenton,United States Navy,16 March 1889,A warship that was wrecked in the 1889 Apia cyclone.,
Wild Wave,,5 March 1858,A 1500-ton clipper ship that was wrecked on Oeno Island.,
Cornwallis,,23 January 1875,A ship that was wrecked on Pitcairn Island.,
Khandeish,,25 September 1875,A ship that was wrecked on Oeno Island.,
Acadia,,5 June 1881,A mail ship that was wrecked on Ducie Island.,
Oregon,,23 August 1883,A ship that was wrecked on Oeno Island.,
Bowdon,,April 1893,A ship that was wrecked on Oeno Island.,
Lady of St Kilda,United Kingdom,,A schooner that was wrecked sometime shortly after 1843.,
USS Chicago,United States Navy,30-Jan-43,A Northampton-class heavy cruiser that was sunk in the Battle of Rennell Island.,11°25′S 160°56′E
USS Helena,United States Navy,6-Jul-43,A St. Louis-class light cruiser that was sunk in the Battle of Kula Gulf.,7°46′0″S 157°11′0″E
Jintsu,Imperial Japanese Navy,13-Jul-43,A Japanese Sendai-class light cruiser that was sunk in the Battle of Kolombangara.,07°38′S 157°06′E
USS Juneau,United States Navy,13-Nov-42,An Atlanta-class light cruiser that was sunk in the Naval Battle of Guadalcanal.,10°34′S 161°04′E
Ro-34,Imperial Japanese Navy,5-Apr-43,A Japanese Kaichū type submarine that was sunk by USS O'Bannon (DD-450) (USS O'Bannon) and USS Strong (DD-467) (USS Strong) off the Russell Islands.,08°15′S 158°58′E
Yūgumo,Imperial Japanese Navy,7-Oct-43,A Japanese Yūgumo-class destroyer that was sunk in the Naval Battle of Vella Lavella.,07°33′S 156°14′E
Yura,Imperial Japanese Navy,25-Oct-42,A Japanese Nagara-class light cruiser that was bombed by US aircraft and scuttled off Savo Island.,08°15′S 159°07′E
USS Aaron Ward,United States Navy,7-Apr-43,A Gleaves-class destroyer that was sunk by Japanese aircraft during Operation I-Go.,9°10′30″S 160°12′0″E
Akatsuki,Imperial Japanese Navy,13-Nov-42,A Japanese Akatsuki-class destroyer that was sunk in the Naval Battle of Guadalcanal.,09°17′S 159°56′E
USS Astoria,United States Navy,9-Aug-42,A New Orleans-class heavy cruiser that was sunk in the Battle of Savo Island.,9°12′33″S 159°52′3″E
USS Atlanta,United States Navy,13-Nov-42,An Atlanta-class anti-aircraft cruiser that was sunk in the Naval Battle of Guadalcanal.,9°23′24″S 159°58′44″E
Ayanami,Imperial Japanese Navy,15-Nov-42,A Japanese Fubuki-class destroyer that was sunk by gunfire from USS Washington.,9°10′S 159°52′E
USS Barton,United States Navy,13-Nov-42,A Benson-class destroyer that was struck by torpedoes from the Japanese destroyer Akatsuki.,
HMAS Canberra,Royal Australian Navy,9-Aug-42,A Kent-class cruiser that was scuttled after taking damage in the Battle of Savo Island.,9°12′29″S 159°54′46″E
USS Colhoun,United States Navy,30-Aug-42,A Wickes-class destroyer that was sunk by Japanese aircraft.,09°24′S 160°01′E
USS Cushing,United States Navy,13-Nov-42,A Mahan-class destroyer that was sunk in the Naval Battle of Guadalcanal.,
USS De Haven,United States Navy,1-Feb-43,A Fletcher-class destroyer that was sunk by Japanese bombers during Operation Ke.,9°9′S 159°52′E
USS Duncan,United States Navy,12-Oct-42,A Gleaves-class destroyer that was sunk after taking damage in the Battle of Cape Esperance.,
Fubuki,Imperial Japanese Navy,11-Oct-42,A Japanese Fubuki-class destroyer that was sunk in the Battle of Cape Esperance.,09°06′S 159°38′E
Furutaka,Imperial Japanese Navy,12-Oct-42,A Japanese Furutaka-class cruiser that was sunk in the Battle of Cape Esperance.,09°02′S 159°33′E
USS George F. Elliott,United States Navy,8-Aug-42,A Heywood-class attack transport that was sunk by Mitsubishi G4M bombers.,9°20′45″S 160°8′14″E
USS Gregory,United States Navy,5-Sep-42,"A Wickes-class destroyer that was sunk by Japanese destroyers Yūdachi, Hatsuyuki, and Murakumo.",
Hiei,Imperial Japanese Navy,14-Nov-42,A Japanese Kongō-class battleship that was scuttled after taking damage in the Naval Battle of Guadalcanal.,9°00′00″S 158°59′59″E
Hirokawa Maru,Imperial Japanese Navy,,A Japanese military transport.,
USS Jarvis,United States Navy,9-Aug-42,A Gridley-class destroyer that was sunk by Japanese aircraft.,9°42′S 158°59′E
USS John Penn,United States Navy,13-Aug-43,An attack transport that was sunk by Japanese aircraft off Lunga Point.,
Kasi Maru,Imperial Japanese Navy,2-Jul-43,"A Japanese auxiliary minelayer/merchant ship, sunk in Mbaeroko Bay, near Munda, during a bombing raid by USAAF B-25 bombers",8°06′S 157°20′E
USS Kanawha,United States Navy,8-Apr-43,A Kanawha-class fleet replenishment oiler that was sunk by enemy Vals.,
Kinugawa Maru,Imperial Japanese Navy,,A Japanese military transport.,
Kirishima,Imperial Japanese Navy,15-Nov-42,A Japanese Kongō-class battleship that was sunk by USS Washington.,9°05′S 159°42′E
USS Laffey,United States Navy,13-Nov-42,A Benson-class destroyer that was sunk in the Naval Battle of Guadalcanal.,
USS Little,United States Navy,5-Sep-42,"A Wickes-class destroyer that was sunk by Japanese destroyers Yūdachi, Hatsuyuki, and Murakumo.",
Makigumo,Imperial Japanese Navy,1-Feb-42,A Japanese Yūgumo-class destroyer that was scuttled after striking a mine.,09°15′S 159°47′E
HMNZS Moa,Royal New Zealand Navy,7-Apr-43,A Bird-class minesweeper that was sunk by Japanese aircraft.,
USS Monssen,United States Navy,13-Nov-42,A Gleaves-class destroyer that was sunk in the Naval Battle of Guadalcanal.,
USS Northampton,United States Navy,30-Nov-42,A Northampton-class heavy cruiser that was sunk in the Battle of Tassafaronga.,09°12′S 159°50′E
USS Preston,United States Navy,14-Nov-42,A Mahan-class destroyer that was sunk in the Naval Battle of Guadalcanal.,
PT-37,United States Navy,,An American PT boat.,
PT-44,United States Navy,,An American PT boat.,
PT-111,United States Navy,,An American PT boat.,
PT-112,United States Navy,,An American PT boat.,
PT-123,United States Navy,,An American PT boat.,
USS Quincy,United States Navy,9-Aug-42,A New Orleans-class cruiser that was sunk in the Battle of Savo Island.,9°4′32″S 159°58′30″E
USS Seminole,United States Navy,25-Oct-42,A Navajo-class oceangoing tug that was sunk off Tulagi by Japanese destroyers.,9°23′0″S 160°13′14″E
USS Serpens,United States Navy,29-Jan-45,A Coast Guard-crewed Liberty ship that exploded while anchored off Lunga Beach.,
Takanami,Imperial Japanese Navy,30-Nov-42,A Japanese Yūgumo-class destroyer that was sunk in the Battle of Tassafaronga.,9°14′S 159°49′E
Teruzuki,Imperial Japanese Navy,12-Dec-42,A Japanese Akizuki-class destroyer that was torpedoed by PT-37 and PT-40.,9°13′S 159°46′E
Toa Maru,Imperial Japanese Navy,,A Japanese military transport.,
USS Vincennes,United States Navy,9-Aug-42,A New Orleans-class cruiser that was sunk in the Battle of Savo Island.,9°7′17″S 159°52′48″E
USS Walke,United States Navy,15-Nov-42,A Sims-class destroyer that was sunk in the Naval Battle of Guadalcanal.,
MS World Discoverer,Liberia,30-Apr-00,A cruise ship that struck a reef in the Sandfly Passage and ran aground in Roderick Bay.,9°01′23.17″S 160°07′22.91″E
YP-284,United States Navy,25-Oct-42,An American yard patrol craft.,
Yūdachi,Imperial Japanese Navy,13-Nov-42,A Japanese Shiratsuyu-class destroyer that was sunk in the Naval Battle of Guadalcanal.,09°14′S 159°52′E
Abbey,New South Wales,15 February 1868,A brigantine that was wrecked in a storm at Crowdy Head.,31°50′S 152°46′E
Ability,New South Wales,5 January 1897,A ketch that ran aground at Cape Hawke.,
Absalom,New South Wales,29 March 1863,A ketch that was wrecked at Trial Bay.,30°50′S 153°01′E
Acielle,Australia,11-Sep-29,A ketch that was driven ashore off Smoky Cape.,31°06′15″S 153°01′30″E
Active,New South Wales,18 February 1852,A ketch that was wrecked at the mouth of the Hunter River.,32°55′S 151°47′E
Ada,Unknown,29 April 1897,A ketch that was wrecked off Newcastle.,32°55′S 151°47′E
Ada and Ethel,New South Wales,26 October 1887,A wooden schooner that sprung a leak and foundered off Seal Rocks.,32°36′S 152°42′E
Adelaide,New South Wales,May 1834,A wooden cutter wrecked near Norah Head.,33°14′S 151°36′E
HMAS Adelaide,Royal Australian Navy,13-Apr-11,An Adelaide-class frigate that was scuttled as a dive wreck off Avoca Beach.,33°28′0″S 151°27′0″E
Adele,Royal Australian Navy,7-May-43,A steamship that struck the breakwater at Port Kembla.,34°28′04″S 150°55′01″E
Adelphoi,New South Wales,21 December 1879,A barque that was wrecked off Port Hacking.,34°04′23″S 151°07′12″E
Adolphe,France,30-Sep-04,Sailing ship wrecked at the mouth of Hunter River.,32°54′49.46″S 151°47′50.21″E
Adonis,New South Wales,22 December 1889,A brigantine that sank off Crowdy Head.,32°06′S 152°48′E
Advance (1874),Australia,12-Jun-02,A schooner that was wrecked at Botany Bay.,34°00′00″S 151°14′06″E
Advance (1884),Australia,25-Dec-08,An iron screw steamer that collided with the Inverna off Catherine Hill Bay.,33°10′50″S 151°42′12″E
Adventure,New South Wales,1855,A schooner that was wrecked at Richmond River.,28°53′S 153°35′E
Aenid,New South Wales,12 November 1865,A cutter that was wrecked at Long Reef.,
Agnes (1849),Canada,10 March 1877,A brigantine that was wrecked off Wollongong.,
Agnes (1853),New South Wales,13 July 1860,A cutter that was blown ashore near Newcastle.,32°48′S 152°00′E
Agnes (1875),New South Wales,12 March 1890,A schooner that was wrecked near Ocean Shores.,28°27′S 153°34′E
Agnes (1877),New South Wales,1883,A ketch that was wrecked off Jervis Bay.,35°07′S 150°49′E
Agnes (1904),Australia,27-Jan-06,A launch that was wrecked in a collision in Sydney Harbour.,33°51′S 151°14′E
Agnes Irving,New South Wales,28 December 1879,A paddle steamer that was wrecked off Trial Bay.,30°48′23″S 153°00′18″E
Alhambra,New South Wales,30 June 1888,Iron screw steamer wrecked off Newcastle while attempting to move the derelict wreck of the John T. Berry.,32°53′S 151°54′E
HMAS Anzac,Royal Australian Navy,7-May-36,A Parker-class destroyer leader that was sunk as a target off Sydney Heads.,
Argument,New South Wales,March 1809,A sloop that was wrecked near Broken Bay.,
HMAS Arunta,Royal Australian Navy,12-Feb-69,"A Tribal-class destroyer sold for scrap, but sank under tow off Sydney Heads.",33°50′S 151°19′E
HMAS Australia,Royal Australian Navy,12-Apr-24,An Indefatigable-class battlecruiser that was scuttled off Sydney Heads.,33°51′54.21″S 155°44′25.11″E
Bantam,Netherlands,24-Sep-46,A Dutch ship that was scuttled off Sydney.,
Barcoo,Australia,1-Feb-24,A passenger ship that was scuttled off Sydney Heads.,
Bellubera,Australia,1-Aug-80,A ferry that was scuttled southeast off Long Reef (New South Wales).,
Bluebell,Australia,9-Aug-34,A ferry that collided with the Waraneen at Newcastle.,
Bombo,Australia,24-Feb-49,A coastal steamer that sank in a storm off Port Kembla.,34°26.775′S 151°55.48′E
Bonnie Dundee,New South Wales,10 March 1879,A steamship that collided with SS Barrabool off Caves Beach.,33°06.327′S 151°42.258′E
Brighton,Australia,1916,A ferry that was hulked at Port Stephens.,32°40′06″S 152°07′33″E
Britannia,United Kingdom,25 August 1806,A whaler that ran up against the Elizabeth and Middleton Reefs.,
Buster,Australia,17 February 1893,A barquentine that ran aground at Woolgoolga.,
Catterthun,New South Wales,8 August 1895,Hit rocks and sunk during a storm off Seal Rocks with over 50 lives lost.,
Cawarra,New South Wales,12 July 1886,"Sank in rough seas, with 60 lives lost and 1 survivor.",
Charlotte,United Kingdom,1808,A sloop that was wrecked near Port Jackson.,
HMAS Colac,Royal Australian Navy,4-Mar-87,A Bathurst-class corvette that was sunk as a target near Sydney.,34°49.2′S 151°32′E
Colonist,United Kingdom,9 September 1894,A cargo ship that ran aground off Newcastle.,32°54′50″S 151°47′49″E
Comboyne,Australia,27-Nov-20,A steamship that was wrecked off Bass Point.,34°35′50″S 150°55′18″E
Contest,New South Wales,28 February 1804,A sloop that sank in a storm off Port Stephens.,
USS Craven,United States Navy,25-May-46,A Caldwell-class destroyer that was scuttled off Sydney.,
HMAS Doomba,Royal Australian Navy,9-Dec-76,A warship that was scuttled off Dee Why.,33°42′58″S 151°20′50″E
Duckenfield,New South Wales,1889,"The steamship struck Long Reef on its way to Sydney, but no lives lost.",
Dunbar,Unknown,20 August 1857,"Sank after striking rocks, with 121 lives lost.",
Dundee,Unknown,August 1808,A ship that foundered in a gale at the mouth of the Hunter River.,
Edward Lombe,United Kingdom,25 August 1834,A merchantman that was wrecked on the Sydney Heads in a gale.,33°49.745′S 151°16.191′E
Edwin,New South Wales,June 1816,A schooner that was wrecked near Cape Hawke.,
Eleanor Lancaster,United Kingdom,7 November 1856,A barque that was wrecked in a gale off Newcastle.,
Elizabeth Henrietta,New South Wales,17 December 1825,A brig that was wrecked off Newcastle.,
HMAS Encounter,Royal Australian Navy,14-Sep-32,A Challenger-class protected cruiser that was scuttled off Sydney.,
Enterprize,United Kingdom,1874,A schooner that was wrecked in Richmond River.,
Estramina,New South Wales,19 January 1816,A schooner that ran aground off Newcastle.,
Fairwind,Australian Army,23-Jun-50,A lighter that was wrecked off South West Rocks.,
Fingal,Australia,5-May-43,A steamship that was torpedoed by Japanese submarine I-180 off Nambucca Heads.,
Fitzroy,Australia,26-Jun-21,A steamship that was wrecked off Cape Hawke.,
Francis,New South Wales,21 March 1805,A schooner that was wrecked off Newcastle.,
George,New South Wales,1806,A sloop that ran aground in Twofold Bay.,
HMAS Geranium,Royal Australian Navy,24-Apr-35,An Arabis-class sloop that was scuttled off Sydney Heads.,
HMAS Goolgwai,Royal Australian Navy,29-May-55,A minesweeper that was wrecked near Malabar.,
Governor Hunter,New South Wales,July 1816,A schooner that was wrecked in a gale off Port Stephens.,
Governor King,New South Wales,22 April 1806,A schooner that was wrecked off Newcastle.,
Grecian,Tasmania,6 May 1864,A sailing ship that was wrecked on Nine Mile Beach in a gale.,
Greycliffe,Australia,3-Nov-27,Sydney ferry that collided with the mail steamer Tahiti and sank with the loss of 40 lives.,
Hawkesbury Packet,New South Wales,14 August 1817,A sloop that ran aground at Minnamurra.,34°37′28″S 150°51′45″E
Hazard,New South Wales,March 1809,A sloop that ran aground on Box Head.,33°32′32″S 151°20′55″E
Herald,New South Wales,1 April 1884,A paddle steamer that sank off North Head.,33°49.492′S 151°17.462′E
Hereward,United Kingdom,5 May 1898,A clipper that ran aground on Maroubra Beach in a storm.,
Hive,United Kingdom,10 December 1835,A convict ship that ran aground south of Jervis Bay.,
Hope,New South Wales,1817,A ship that was blown ashore at Port Stephens.,
HMAS Huon,Royal Australian Navy,10-Apr-31,A River-class torpedo-boat destroyer that was scuttled off Sydney after use as a target.,
Iron Knight,Australia,8-Feb-43,An iron ore carrier sunk by the Japanese submarine I-21.,36°51′S 149°44′E
Itata,United Kingdom,,A barque that was damaged by fire and scuttled in Middle Harbour.,33°48.913′S 151°13.481′E
HMAS Karangi,Royal Australian Navy,1970,A Bar-class boom defence vessel that was abandoned at Homebush Bay.,33°50′11″S 151°04′50″E
HMAS Kara Kara,Royal Australian Navy,31-Jan-73,A boom defence vessel that was sunk as a target off Jervis Bay.,
HMAS Kianga,Royal Australian Navy,7-Jul-46,A minesweeper that was scuttled off Sydney Heads.,33°59′54″S 151°36′05″E
HMAS Kookaburra,Royal Australian Navy,Mar-70,A Net-class boom defence vessel that was scuttled off Sydney.,33°51.300′S 151°21.196′E
Koonya,New South Wales,25 January 1898,A steamboat that ran aground off Cronulla Beach.,34°02′34″S 151°12′24″E
Koraaga,Australia,10-Sep-31,A steamship that was wrecked off Gerringong.,34°47′00″S 150°54′36″E
HMAS Kuttabul,Royal Australian Navy,31-May-42,A depot ship that was torpedoed during the attack on Sydney Harbour.,
Limerick,New Zealand,26-Apr-43,A cargo ship that was torpedoed by the Japanese submarine I-177 about 18 km (11 mi) east of Ballina.,
Lindus,Victoria,4 June 1899,A steamship that was wrecked in a storm off Newcastle.,32°54′50″S 151°47′49″E
M84,Imperial Japanese Navy,Jun-42,"A Japanese midget submarine that sank sometime after being shelled during the attack on Sydney Harbour, with two lives lost.",
Maianbar,Australia,5-May-40,A steamship that ran aground on Nobby's Beach off Newcastle.,32°55′29″S 151°47′33.4″E
HMS Mallow,Royal Navy,24-Apr-35,An Acacia-class sloop that was sunk as a target.,
HMAS Marguerite,Royal Australian Navy,1-Aug-35,An Arabis-class sloop that was sunk as a target.,
Martha,New South Wales,August 1800,A schooner that was wrecked off Manly.,
HMAS Medea,Royal Australian Navy,20-Jan-48,A minesweeper that was scuttled off Sydney.,33°59′54″S 151°36′04″E
HMAS Mercedes,Royal Australian Navy,23-Jan-48,A minesweeper that was scuttled off Sydney.,33°59′54″S 151°36′03″E
Merksworth,New South Wales,7 May 1898,A steamboat that was wrecked near Stockton Beach.,32°50′13″S 151°56′13″E
Nancy,New South Wales,18 April 1805,A sloop that was wrecked off Jervis Bay.,35°22′01″S 150°50′04″E
Narara,Australia,23-Aug-03,A steamboat that was wrecked near Barrenjoey.,
Nimbin,Australia,5-Dec-40,A steamship that hit a mine off Norah Head.,33°15.392′S 151°46.976′E
Norfolk,Great Britain,1800,A sloop that was run aground by convicts at Stockton Beach.,
Oakland,New South Wales,27-May-03,"A small coaster, foundered off Cabbage Tree Island in storm, 11 lives lost.",32°40.765′S 152°14.003′E
HMAS Olive Cam,Royal Australian Navy,2-Nov-54,An auxiliary minesweeper wrecked near Green Cape Lighthouse.,37°09′04″S 150°00′26″E
USS Osborne,United States Navy,6-Sep-47,A Clemson-class destroyer that was scuttled off Sydney following a fire.,
HMAS Paterson,Royal Australian Navy,11-Jun-51,A wooden auxiliary minesweeper that sank off The Entrance.,33°16′40″S 151°34′19″E
HMAS Pioneer,Royal Australian Navy,18-Feb-31,A Pelorus-class protected cruiser that was scuttled off Sydney Heads.,33°51.850′S 151°19.844′E
Queen Bee,Australia,2-Sep-22,"A small twin screw steamer Sixty-miler that sunk off Barrenjoey Head, Broken Bay.",
Queen of Nations,United Kingdom,31 May 1881,A clipper that ran aground off East Corrimal.,
Recovery,United Kingdom,June 1816,A sloop that was wrecked near Port Stephens.,
Shockwave,Australia,10-Oct-09,A yacht that ran aground off Flinders Islet.,
HMAS Stalwart,Royal Australian Navy,22-Jul-39,An S-class destroyer that was scuttled off Sydney.,33°59.906′S 151°36.067′E
HMAS Swan,Royal Australian Navy,2-Feb-34,A River-class torpedo-boat destroyer that sank under tow in the Hawkesbury River.,
Sygna,Norway,26-May-74,Ran aground near Newcastle.,32°51′32.94″S 151°50′40.96″E
Tassie III,United States Army,9-Jun-45,A motor vessel that was wrecked at Byron Bay.,28°38′20″S 153°36′50″E
Three Bees,United Kingdom,20 May 1814,A convict ship that caught fire off Bennelong Point.,
Titan,Singapore,29-Dec-92,A floating crane that broke tow and was scuttled near Kendall.,31°39′51″S 152°52′24″E
HMAS Torrens,Royal Australian Navy,24-Nov-30,A River-class torpedo-boat destroyer that was sunk as a target off Sydney Heads.,
Trial,New South Wales,1816,A brig that ran aground at Trial Bay.,
Tuncurry,Australia,22-Oct-16,A steamboat that was wrecked off Broken Bay.,33°37.125′S 151°26.422′E
Tuggerah,Unknown,1919,"Sank during a storm off Marley Beach south of Sydney, with 6 lives lost.",
HMAS Vendetta,Royal Australian Navy,2-Jul-48,A V-class destroyer that was scuttled off Sydney Heads.,
HMAS Vigilant,Royal Australian Navy,Apr-66,A patrol boat that was scuttled off Sydney.,
HMAS Voyager,Royal Australian Navy,10-Feb-64,"Sank after collision with HMAS Melbourne, with 82 killed.",
Wandra,Australia,15-Dec-15,A steamboat that was wrecked off Jervis Bay.,35°02′43″S 150°50′21″E
HMAS Waree,Royal Australian Navy,17-Oct-46,A tugboat that ran aground at the mouth of the Clarence River.,29°25.385′S 153°21.854′E
Wendouree,New South Wales,20 July 1898,A steamship that was wrecked at the mouth of the Hunter River.,32°54′50″S 151°47′49″E
William Cossar,New South Wales,14 February 1825,A schooner that was wrecked on the Sow and Pigs Reef.,
Windsor,New South Wales,1816,A sloop that was wrecked on Long Reef.,
Wollongbar (1911),Australia,14-May-21,A steamship that was blown ashore at Byron Bay.,28°38′14″S 153°36′37″E
Wollongbar (1922),Australia,29-Apr-43,A steamship that was torpedoed by Japanese submarine I-180 off Crescent Head.,
HMAS Woomera,Royal Australian Navy,11-Oct-60,An armament store carrier that caught fire off Sydney.,
